"","NYK.Close"
"1",4217.39
"2",4069.15
"3",3973.58
"4",4128.2
"5",4048.3
"6",3913.79
"7",3917.58
"8",3954.53
"9",3997.92
"10",4094.88
"11",4107.66
"12",4004
"13",3994.47
"14",3827.38
"15",3696.46
"16",3752.73
"17",3896.62
"18",3942.88
"19",3839.55
"20",3949.13
"21",3805.34
"22",3637.55
"23",3751.48
"24",3802.25
"25",3921.85
"26",3814
"27",3991.26
"28",3980.98
"29",4081.23
"30",4013.12
"31",4062.22
"32",3944.09
"33",4086.13
"34",4015.26
"35",4052.34
"36",4147.18
"37",4235.98
"38",4123.78
"39",4191.29
"40",4466.21
"41",4439.61
"42",4267.3
"43",4073.64
