plot,tree,species,dbh.cm,height.m
1,1,LP,12.8,7.9
1,2,DF,20.5,9.6
1,3,DF,16.3,8.2
1,4,PP,22,10.2
2,1,DF,10.2,6.6
2,2,PP,16.6,7.1
2,3,LP,8,6.4
3,1,LP,12.7,7.3
3,2,DF,18.8,7.5
3,3,DF,13.4,3.9
4,1,GF,10.1,4.2
4,2,PP,8.3,3.7
4,3,PP,8.5,4.2
5,1,DF,20.3,9.7
5,2,DF,24.3,12.2
5,3,DF,22.4,9.7
6,1,DF,23.5,9.5
6,2,DF,15.6,9
6,3,DF,24.5,9.3
7,1,GF,17.8,9.2
7,2,WL,19.4,11.3
7,4,DF,27.2,12.1
8,1,DF,27.8,9.8
8,2,WL,32.2,13.3
8,3,GF,21.1,8.2
9,1,GF,19.8,9.4
9,2,GF,17.2,8.9
9,3,GF,21.5,10.5
9,4,GF,9.6,6.8
10,1,GF,5.7,4.7
10,2,WC,30,10.8
10,3,WC,23.6,9.2
11,1,GF,11.6,5.8
11,2,GF,13.6,6.1
12,1,WC,18.1,9
12,2,WC,22,7.4
12,3,GF,18.5,10.8
13,1,DF,21.9,10.8
13,2,GF,19,9.2
13,6,GF,8,5.2
14,1,LP,10.6,9.4
15,1,DF,11,7.4
15,2,PP,20.1,9.4
15,3,DF,7.9,6.7
15,7,DF,13,7.5
15,8,PP,15.7,9.4
16,1,DF,15.2,7.9
16,2,GF,15.1,9.2
16,3,DF,18.4,9.5
17,1,PP,15.4,6.9
17,2,WL,35.2,12.5
18,1,GF,8.8,6.1
18,2,GF,8.3,6.4
18,3,DF,19.8,9.5
19,1,GF,17,7.5
19,2,GF,21.3,9.5
20,1,GF,9.8,6.9
20,2,GF,9.6,6.2
20,3,GF,8.7,7.5
21,1,DF,21.7,12.5
21,2,GF,18.8,11.5
21,3,WC,17.1,8.5
21,4,WC,28.5,8.9
22,1,GF,11.4,7.5
22,2,GF,6.5,5.9
22,4,LP,6.1,6.6
22,5,LP,8.1,6.9
22,6,LP,11.2,6.9
23,1,DF,24.8,13.5
23,2,DF,8.6,4.4
23,4,PP,26.1,12.5
24,1,GF,11.1,5.1
24,2,PP,21.7,11.5
24,3,GF,11.4,5.9
25,1,DF,18.3,8.9
25,2,DF,17.7,8.9
25,3,GF,17,8
26,1,PP,23.3,9.5
26,2,LP,8.2,7
26,3,LP,8.1,7
27,1,DF,20.1,7.5
27,2,DF,8.1,6.2
27,3,DF,11,7.9
27,4,DF,7.5,5.2
27,7,GF,18.3,9.2
28,1,DF,7.9,6.6
28,2,PP,17.6,8.2
28,3,DF,7.8,5.4
28,8,LP,11,7.2
29,1,GF,10.8,7.9
29,2,GF,9.7,8.2
29,6,GF,13.9,6.9
30,1,GF,4,4.6
30,2,DF,14.5,8.5
30,4,DF,7.4,5.9
31,1,DF,52.2,10.7
31,2,GF,9.1,5.9
31,3,GF,7.4,4.6
32,1,GF,13.9,9.2
33,1,PP,11.6,7.2
33,2,PP,20.9,9.5
33,3,PP,14.2,7.5
34,1,DF,9.1,4.4
34,2,DF,5,3.3
35,1,DF,9.4,6.9
35,2,WL,25.2,12.1
35,6,GF,14.8,5.9
36,1,DF,25.7,8.9
36,2,DF,21.7,8.2
36,3,PP,11.3,4.3
36,5,DF,19.7,6.6
37,1,DF,8.5,6.3
37,2,DF,16.8,9
37,3,DF,17.1,8.5
38,1,LP,8.7,6
38,2,GF,6.5,4.1
38,3,WL,15.6,6.9
39,1,LP,8.8,7.1
39,2,LP,6.7,5.9
39,3,LP,7.1,6.3
40,1,LP,8.1,6.6
40,2,LP,8.9,5.9
40,3,LP,7.7,6.9
40,5,DF,15.5,7.3
41,1,WL,13.2,9.2
41,2,GF,7.9,5.7
41,3,LP,14.3,7.7
41,4,GF,11.9,6.7
42,1,WC,8.2,3.7
42,2,WC,10,4.4
43,1,DF,37.4,10.8
43,2,DF,25,8.9
43,3,PP,13.6,7
43,4,LP,12.9,7
44,1,WC,6.3,8.2
44,6,WC,9.6,5
44,7,PP,13.9,7.9
45,1,DF,8.5,5
45,2,DF,12.4,7.8
45,3,GF,8.5,6
46,1,GF,8.3,5.6
46,2,GF,7.1,5.2
46,3,DF,8.2,5.1
47,1,LP,10.6,8.2
47,2,WC,35,9.8
47,3,GF,14,9.5
48,1,LP,11,8.5
48,2,WC,14,6.6
48,6,DF,6.2,5.2
48,8,ES,13.7,9.1
49,1,LP,14.3,6
49,2,DF,16.9,7.7
50,1,DF,26.5,9.7
50,2,PP,15,8.3
50,3,DF,16.5,8.6
51,1,DF,25.4,12.1
51,2,DF,20,9.8
51,3,DF,9.5,8.2
51,6,DF,29.5,12.1
52,1,DF,12,4.3
52,2,DF,24.2,9.5
52,3,DF,21,9
52,4,DF,8.3,5.2
53,1,PP,8.2,4.7
54,1,PP,22,10.7
54,2,PP,23,9.7
54,3,DF,24.4,10.2
55,1,DF,22.7,7.9
55,2,DF,14.7,6.7
55,3,DF,17.3,8.2
55,4,DF,27.4,9.9
56,1,WL,20.3,8.9
56,2,WC,32.1,10.2
57,1,DF,24.7,9.7
58,1,PP,11.1,7.4
58,2,PP,7.2,6.2
58,3,PP,16.6,8.9
59,1,DF,14.4,7.2
59,2,DF,18,10.2
59,3,PP,14,9
60,1,PP,15.5,7.5
60,2,PP,12.7,6.2
60,3,PP,22.7,8.9
61,1,DF,22.4,10.8
61,2,DF,15,8.9
61,3,DF,13.7,8.5
61,4,GF,37.6,10.8
62,1,DF,10,6.2
62,2,DF,33.4,12
62,3,PP,25.1,11.3
63,1,PP,14.5,7.9
63,2,PP,13.5,4.6
64,1,PP,31.4,12.1
64,2,PP,14.6,7.5
64,3,PP,25,10.5
65,1,PP,19.2,9.2
65,2,PP,25.2,9.8
65,3,DF,9.6,7.1
66,1,DF,14.2,5.6
66,2,DF,13.8,5.9
67,1,PP,17.7,8.2
67,2,PP,17.2,8.9
67,3,PP,19.5,7.5
68,1,PP,9.4,6.2
68,2,PP,17.3,8.2
68,4,PP,9.7,6.6
68,5,DF,9.2,4
68,7,PP,12.4,5.9
69,1,PP,21.2,9.2
69,2,DF,13.4,7.5
69,3,PP,11,7.2
70,1,PP,23.4,11.8
70,2,PP,22.2,11.8
70,3,PP,20.6,10.7
71,1,GF,25.5,8.9
71,2,DF,10.2,7.2
71,3,DF,8.7,6.6
72,1,PP,17.3,6.9
72,2,PP,24.6,8.2
72,3,PP,23.2,9.8
73,1,PP,16.1,9.2
73,2,PP,23.2,9.8
74,2,DF,8.7,4.3
74,3,DF,10.4,5.6
75,1,PP,18,8.2
75,4,PP,11.5,8.2
75,5,PP,20.3,8.5
76,1,PP,20.4,9.2
76,2,PP,12.6,6
76,3,PP,18.8,7.5
77,1,PP,9.7,7.5
77,2,PP,10.4,7.5
77,3,PP,12.1,8
78,1,DF,19.9,7.8
78,2,PP,22.2,7.9
78,3,DF,22.7,7.5
79,1,PP,20.7,9.5
79,2,PP,9.1,3.9
79,3,PP,19.3,10.8
79,4,DF,32.4,9.8
80,1,PP,18.9,8.5
80,2,PP,16.3,7.5
80,3,PP,6.5,3.8
81,1,GF,20.4,9.8
82,1,DF,14.9,5.9
83,1,PP,17.2,9
83,2,PP,13.7,7.4
83,3,PP,13.8,8.2
84,1,PP,26.4,8.6
84,2,PP,11.1,6.6
84,3,PP,14.8,8
85,1,PP,14.5,6.2
85,2,PP,23.9,10
86,1,PP,18.3,7.2
86,2,PP,22.3,8.5
86,3,PP,25.4,7.5
87,1,PP,18.1,7.8
87,2,PP,24,8.1
87,3,PP,18.7,6.4
89,1,GF,6.9,4.1
89,2,GF,12.4,7.2
90,1,PP,9.6,4.4
91,1,PP,9.3,8
91,2,PP,15.2,8.2
91,3,PP,22,8.7
92,1,PP,20.6,7.2
92,2,PP,10.1,6.2
92,3,PP,12.1,6.2
92,4,PP,15,7.2
93,1,PP,32.3,11.5
94,1,PP,25.1,9.2
95,1,PP,12.9,6.9
95,2,PP,13.7,6.9
96,1,DF,6.2,5.2
96,2,DF,11.1,7.5
96,3,DF,16.9,7.7
96,4,PP,20.6,8.4
97,1,DF,12.4,4.3
97,2,DF,6.4,3
98,1,PP,10.8,7.5
98,2,PP,10.2,7.5
98,3,PP,29.9,9.5
98,5,PP,15.2,6.4
99,1,PP,22.6,7.9
99,2,PP,18.8,7.5
99,3,PP,20.7,8.5
99,4,PP,21.5,8.5
100,1,PP,18.5,8.9
100,2,PP,20.1,7.2
100,3,PP,19.7,7.5
101,1,PP,28.1,9.5
102,1,PP,29.3,10.2
103,1,PP,18.3,6.6
103,2,PP,23.3,7.2
104,1,PP,20.4,7.9
105,1,DF,10.2,4.3
105,2,DF,7.8,3.9
105,3,PP,10.2,6.6
106,1,PP,15.3,5.6
106,2,PP,8.9,7.9
106,3,PP,12.7,6.1
106,4,PP,12.2,6.6
107,1,PP,12.9,7.7
107,2,PP,18.7,8.2
107,3,PP,27.4,8.7
108,1,PP,24.8,10.2
108,2,PP,23.8,10.3
