"tree.ID","forest","habitat","dbh.in","height.ft","age"
1,4,5,14.6,71.4,55
1,4,5,12.4,61.4,45
1,4,5,8.8,40.1,35
1,4,5,7,28.6,25
1,4,5,4,19.6,15
2,4,5,20,103.4,107
2,4,5,18.8,92.2,97
2,4,5,17,80.8,87
2,4,5,15.9,76.2,77
2,4,5,14,70.7,67
2,4,5,11.7,56.6,57
2,4,5,10.6,43,47
2,4,5,8,35.6,37
2,4,5,6.2,29.3,27
2,4,5,3.4,16.2,17
3,4,3,29.2,158.3,130
3,4,3,28.1,138.9,120
3,4,3,27,132,110
3,4,3,26.1,125.1,100
3,4,3,24.9,119.1,90
3,4,3,22.3,109.3,80
3,4,3,21.5,103.8,70
3,4,3,19.1,94.7,60
3,4,3,17.3,87.5,50
3,4,3,14.5,74.7,40
3,4,3,9.9,57,30
3,4,3,4.6,38.1,20
4,3,1,18.4,108.4,83
4,3,1,17.2,100.8,73
4,3,1,15.6,93.7,63
4,3,1,13.7,85.8,53
4,3,1,11.6,72.5,43
4,3,1,8.5,50.4,33
4,3,1,5.3,27.6,23
4,3,1,2.8,17.8,13
5,3,1,13.3,86,64
5,3,1,10.6,66.7,54
5,3,1,7.2,46.5,44
5,3,1,4.8,32.7,34
5,3,1,3.1,20.2,24
5,3,1,1.3,8.8,14
6,1,1,19.9,122,92
6,1,1,18.6,113.5,82
6,1,1,16.2,103.9,72
6,1,1,14.2,97.4,62
6,1,1,12.3,91.5,52
6,1,1,9.4,82.6,42
6,1,1,6.8,66.7,32
6,1,1,4.9,40,22
6,1,1,2.6,18.5,12
7,1,1,22,132.4,72
7,1,1,19.5,121.7,62
7,1,1,16.8,111.5,52
7,1,1,14,102.7,42
7,1,1,10.5,88.5,32
7,1,1,6.5,60.5,22
7,1,1,3,27.2,12
11,2,4,16.5,88.7,122
11,2,4,15.5,83.4,112
11,2,4,14.5,78.3,102
11,2,4,13.7,74.5,92
11,2,4,12.7,69.7,82
11,2,4,11.4,65.7,72
11,2,4,9.5,62.5,62
11,2,4,8,58,52
11,2,4,5.9,45.4,42
11,2,4,4.1,29.8,32
11,2,4,2.6,18.1,22
12,2,4,19.6,102.4,97
12,2,4,17.8,95.1,87
12,2,4,15.8,86.3,77
12,2,4,14,79.7,67
12,2,4,12.9,72,57
12,2,4,9.7,52.4,47
12,2,4,7.3,37.4,37
12,2,4,4.8,25.1,27
12,2,4,3,13.8,17
