"ID","Age","Vol"
"1.1.1",9.67,5
"1.1.1",19.67,38
"1.1.1",29.67,123
"1.1.1",39.67,263
"1.1.1",49.67,400
"1.1.1",59.67,555
"1.1.1",69.67,688
"1.1.1",79.67,820
"1.1.1",89.67,928
"1.1.1",99.67,1023
"1.1.1",109.67,1104
"1.1.1",119.67,1156
"1.1.1",129.67,1219
"1.1.2",9.21,6
"1.1.2",19.21,53
"1.1.2",29.21,152
"1.1.2",39.21,286
"1.1.2",49.21,465
"1.1.2",59.21,679
"1.1.2",69.21,890
"1.1.2",79.21,1092
"1.1.2",89.21,1316
"1.1.2",99.21,1513
"1.1.2",109.21,1772
"1.1.2",119.21,2045
"1.1.2",129.21,2296
"1.1.3",0.7,0.6
"1.1.3",10.7,13
"1.1.3",20.7,71
"1.1.3",30.7,186
"1.1.3",40.7,370
"1.1.3",50.7,595
"1.1.3",60.7,847
"1.1.3",70.7,1068
"1.1.3",80.7,1284
"1.1.3",90.7,1473
"1.1.3",100.7,1678
"1.1.3",110.7,1922
"1.1.3",120.7,2155
"1.1.3",130.7,2380
"1.1.4",9.82,23
"1.1.4",19.82,142
"1.1.4",29.82,434
"1.1.4",39.82,813
"1.1.4",49.82,1158
"1.1.4",59.82,1505
"1.1.4",69.82,1796
"1.1.4",79.82,2091
"1.1.4",89.82,2379
"1.1.4",99.82,2717
"1.1.4",109.82,3063
"1.1.4",119.82,3484
"1.1.4",129.82,3919
"1.1.6",1.21,1.3
"1.1.6",11.21,40
"1.1.6",21.21,134
"1.1.6",31.21,281
"1.1.6",41.21,498
"1.1.6",51.21,688
"1.1.6",61.21,902
"1.1.6",71.21,1103
"1.1.6",81.21,1320
"1.1.6",91.21,1481
"1.1.6",101.21,1616
"1.1.6",111.21,1738
"1.1.6",121.21,1874
"1.1.6",131.21,1988
"1.1.6",141.21,2093
"1.1.7",1.2,0.9
"1.1.7",11.2,29
"1.1.7",21.2,121
"1.1.7",31.2,314
"1.1.7",41.2,580
"1.1.7",51.2,868
"1.1.7",61.2,1181
"1.1.7",71.2,1552
"1.1.7",81.2,1913
"1.1.7",91.2,2233
