"plot","tree","species","dbh.cm","height.m"
2,1,"DF",39,20.5
2,2,"WL",48,33
3,2,"GF",52,30
3,5,"WC",36,20.7
3,8,"WC",38,22.5
4,1,"WC",46,18
4,2,"DF",25,17
5,2,"DF",54.9,29.3
5,4,"GF",51.8,29
6,1,"DF",40.9,26
6,2,"WC",29,22
6,3,"WC",29.4,32
6,4,"WC",68.5,26
6,6,"WC",63,33
7,2,"WC",46.6,27.5
7,4,"WC",55.3,30
8,1,"GF",46.2,31.3
9,1,"WC",27.1,27
9,2,"GF",40,27
9,3,"GF",36.3,28
10,1,"DF",42,33
10,4,"WC",37.5,29.8
11,3,"GF",38.3,27.1
11,4,"GF",22.3,21.5
11,5,"DF",22.5,22.6
12,1,"WL",21.8,18
12,2,"WC",15.1,15.5
13,1,"WC",23,20
13,2,"WC",32,22.5
13,3,"WC",52.5,29
16,1,"GF",10.5,5
16,2,"WC",75,32
16,3,"WC",89.5,35
16,4,"GF",30,25
16,5,"GF",32,31
16,6,"GF",29.5,27
16,7,"WC",42.5,22.5
16,10,"WC",83,35
17,1,"WC",39,24
18,1,"WL",25,28
18,5,"WL",22.5,26
19,1,"WL",21,22.5
19,5,"WL",12.5,14
20,1,"GF",24,19
20,2,"GF",27.5,23
20,3,"DF",32.5,26.5
20,4,"GF",11.5,8
21,1,"GF",36.5,31.5
21,4,"DF",28.2,25
21,5,"GF",19.8,16
21,6,"WC",21.5,17.5
22,1,"WC",38.9,30
22,2,"WL",44.3,37.5
22,3,"GF",26.3,28
22,5,"DF",34.3,23.5
22,7,"WC",26.2,21
22,8,"DF",40.5,22
22,9,"WC",19.9,17
23,2,"WC",14.6,11
23,5,"GF",39.8,36.5
24,6,"WL",40.1,37.5
25,1,"GF",23,13
26,1,"GF",37.1,21
27,1,"DF",21.5,19
27,2,"GF",14.8,15
27,6,"WC",68.6,28
27,7,"WC",13.9,12.5
28,1,"GF",18.5,19
28,2,"GF",14.2,16
28,3,"WC",48.7,25
29,1,"GF",52.7,30
29,2,"GF",32.2,26
30,1,"WC",64,27
30,2,"GF",58.5,34
30,3,"WC",24.3,13
31,1,"GF",29.6,32
31,2,"WC",43,29
31,3,"DF",52.2,31
32,1,"WC",27.2,23
32,2,"WC",34,23
32,3,"WC",40.4,26
33,1,"WC",11.1,9.5
33,3,"GF",20.7,25
33,6,"DF",28.3,31
34,1,"WL",49.6,23
34,2,"WC",44.9,25
34,5,"GF",42.5,30
35,1,"GF",71.9,32
35,2,"WC",56.5,27.5
35,3,"WC",31.1,25
36,1,"WC",42.5,27
36,2,"GF",35.2,27
36,3,"GF",42.1,30
